Zip,Count
10918,4
10920,1
10924,11
10925,1
10927,7
10928,4
10930,4
10931,24
10932,2
10940,85
10941,8
10950,30
10952,34
10954,19
10956,208
10960,30
10962,6
10965,20
10968,19
10969,1
10970,3
10976,5
10977,57
10980,16
10983,9
10984,1
10990,21
10993,25
10994,53
10996,3
11001,56
11003,72
11004,66
11005,5
11010,72
11020,38
11021,29
11023,103
11024,10
11030,95
11040,144
11042,36
11050,35
11096,37
11101,162
11102,449
11103,188
11104,146
11105,189
11106,318
11109,235
11201,638
11203,92
11204,194
11205,176
11206,254
11207,108
11208,150
11209,230
11210,204
11211,502
11212,88
11213,131
11214,264
11215,572
11216,154
11217,344
11218,135
11219,105
11220,431
11221,178
11222,293
11223,174
11224,72
11225,182
11226,4052
11228,76
11229,283
11230,213
11231,74
11232,55
11233,114
11234,372
11235,355
11236,200
11237,148
11238,254
11239,58
11354,255
11355,150
11356,28
11357,86
11358,58
11360,28
11361,232
11362,59
11363,19
11364,104
11365,2353
11366,134
11367,129
11368,178
11369,44
11370,77
11372,338
11373,434
11374,273
11375,710
11377,290
11378,120
11379,167
11385,321
11411,49
11412,43
11413,81
11414,228
11415,137
11416,91
11417,54
11418,200
11419,143
11420,131
11421,129
11422,105
11423,136
11426,70
11427,58
11428,50
11429,39
11430,7
11432,298
11433,34
11434,100
11435,405
11436,40
11501,167
11507,11
11509,3
11510,81
11514,9
11516,30
11518,5
11520,105
11530,232
11542,30
11545,2
11547,2
11548,8
11550,207
11552,52
11553,75
11554,70
11557,32
11558,4
11559,3
11560,15
11561,52
11563,62
11565,12
11566,106
11568,19
11569,16
11570,76
11572,62
11575,20
11576,36
11577,13
11579,2
11580,213
11581,39
11590,124
11596,19
11598,6
11691,92
11692,15
11693,33
11694,32
11697,12
11701,42
11702,4
11703,25
11704,68
11705,8
11706,137
11709,2
11710,61
11713,7
11714,59
11715,38
11716,28
11717,179
11718,12
11719,1
11720,25
11721,1
11722,49
11725,29
11726,17
11727,18
11729,104
11730,12
11731,15
11733,22
11735,90
11738,26
11740,6
11741,30
11742,1384
11743,113
11746,61
11747,35
11749,2
11751,57
11752,10
11753,20
11754,15
11755,66
11756,44
11757,90
11758,70
11762,58
11763,45
11764,2
11766,23
11767,17
11768,22
11769,6
11770,1
11771,12
11772,21
11776,33
11777,24
11778,33
11779,72
11780,17
11782,24
11783,179
11784,43
11786,1
11787,146
11788,31
11789,10
11790,30
11791,111
11792,6
11793,25
11794,60
11795,91
11796,2
